Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"1952, rue des Tulipes",359 000 $,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,3,2,,1,917.2 pi² (85.21 m²),11 194.96 pi² (1 040.05 m²),,,,
", boulevard Montseigneur-de-Laval",350 000 $,Baie-St-Paul,Charlevoix,,,,,,2 091 406.27 pi² (194 298 m²),"359,10 $","200,00 $",,
"404-1420, rue Gaston-Véronneau",284 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),1,1,1,1,657 pi² (61.04 m²),,"1 797,00 $","175,00 $",,
"1454, rue de Niverville",410 000 $,Chambly,Montérégie (Rive-Sud Montréal),2,1,1,1,1 290 pi² (119.84 m²),195 020 pi² (18 117.95 m²),"2 129,00 $","251,00 $","507,00 $","272,00 $"
"744-746, rue Louis-H Desjardins",635 000 $,Terrebonne (Terrebonne),Lanaudière,5,3,,,,37x32 pi (11.28x9.75 m),"4 257,00 $","352,00 $",,
"149, chemin de la Grève de la Pointe",344 900 $,ND-Des-Neiges,Bas-Saint-Laurent,2,1,,2,646 pi² (60.02 m²),2 327 pi² (216.19 m²),"2 041,00 $","131,00 $","700,00 $","675,00 $"
"130, RUE EMILE",519 000 $,Lavaltrie,Lanaudière,3,1,,1,1 170 pi² (108.7 m²),60x165 pi (18.29x50.29 m),,,,
"3510, route 108",599 000 $,Cookshire-Eaton,Estrie,4,2,,2,2 224 pi² (206.62 m²),43 560.00 pi² (1 acre),"3 548,65 $","324,15 $",,
"4348, rue de l'Estuaire",299 000 $,Charny,Québec Rive-Sud (Lévis),3,1,1,2,1 232 pi² (114.46 m²),4 214 pi² (391.49 m²),"2 310,00 $","185,00 $","1 860,00 $","816,00 $"
Unité 506 - 7480 Boulevard Taschereau,658 900 $,Brossard,Montérégie (Rive-Sud Montréal),3,2,,1,1 176 pi² (109.25 m²),,,,,
"63, rue de Bellevue",475 000 $,Blainville,Laurentides,,,,,,8 099.84 pi² (752.5 m²),,,,
"22, rue de la Berge",440 000 $,St-Philippe,Montérégie (Rive-Sud Montréal),2,1,1,1,20x30 pi (6.10x9.14 m),3 460.60 pi² (321.5 m²),"2 740,84 $","210,43 $","1 680,00 $","1 051,00 $"
"638, rang des Sloan",850 000 $,St-Edouard-De-Napierville,Montérégie (Rive-Sud Montréal),3,1,,1,1 661.95 pi² (154.4 m²),56 462.09 pi² (5 245.5 m²),"2 866,23 $","385,74 $","2 870,00 $",
"5, rue des Frênes",540 000 $,Mercier,Montérégie (Rive-Sud Montréal),3,2,,1,1 305 pi² (121.24 m²),6 237 pi² (579.44 m²),"2 873,00 $","270,00 $","107,00 $","90,00 $"
"203, RUE DE LANGELIER",419 900 $,Gatineau (Gatineau),Outaouais,2,1,1,2,988 pi² (91.79 m²),1 pi² (0.09 m²),,,,
"915, rue des Rameaux",485 000 $,Breakeyville,Québec Rive-Sud (Lévis),4,2,1,2,1 400 pi² (130.06 m²),12 639 pi² (1 174.2 m²),"3 469,01 $","311,76 $",,
"309-901, RUE DE LA COMMUNE E",738 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,1,1,,3,615 pi² (57.14 m²),,"3 083,60 $","404,54 $","652,00 $","396,00 $"
"301-1869, rue des Bassins",599 000 $,Griffintown,Montréal / l'Île,2,1,,1,881.56 pi² (81.9 m²),,"3 996,00 $","422,28 $","585,73 $","549,88 $"
"302-14240, rue Notre-Dame Est",325 000 $,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,2,1,,1,820 pi² (76.18 m²),,"1 523,00 $","160,00 $","250,00 $","500,00 $"
"1397, rue du Collège",450 000 $,Acton Vale,Montérégie (Rive-Sud Montréal),4,2,,1,1 174 pi² (109.07 m²),12 377 pi² (1 149.86 m²),"2 743,00 $","225,00 $",,
"7-1293, rue Labelle",279 000 $,Mont-Tremblant,Laurentides,1,1,,1,532.81 pi² (49.5 m²),,"2 195,00 $","79,00 $","762,00 $",
"291, rue Notre-Dame",285 000 $,ND-De-La-Paix,Outaouais,2,1,1,2,1 206 pi² (112.04 m²),21 072.51 pi² (1 957.7 m²),"1 147,59 $","79,41 $",,
"3, rue Saint-Émile",628 900 $,Ste-Brigitte-De-Laval,Québec Rive-Nord,4,1,1,2,2 600 pi² (241.55 m²),35 000 pi² (3 251.61 m²),,,,
", 5e rang Ouest",275 000 $,Les Hauteurs,Bas-Saint-Laurent,,,,,,5 227 200.02 pi² (120 acres),"932,10 $","45,44 $",,
"735, Du Jaspe",599 999 $,Ascot Corner,Estrie,3,1,1,2,1 950 pi² (181.16 m²),53 680 pi² (4 987.04 m²),"3 480,00 $","323,00 $","3 600,00 $",
Unité 509 - 3155 Avenue Parkville,389 800 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,1,1,,1,650 pi² (60.39 m²),,,,,
"3622, AV DU HOUX",383 000 $,Charlesbourg,Québec Rive-Nord,4,2,1,1,973.49 pi² (90.44 m²),6 700 pi² (622.45 m²),"2 838,54 $","231,25 $","2 556,00 $","1 237,15 $"
"12310, 62e Avenue",530 000 $,Rivière des Prairies,Montréal / l'Île,4,2,,1,298.56x65.62 pi (91x20 m),5 240 pi² (486.81 m²),"2 537,07 $",,,
"164, rue des Pruniers",445 000 $,Lévis,Québec Rive-Sud (Lévis),3,2,,1,1 334.72 pi² (124 m²),8 574.53 pi² (796.6 m²),"3 328,95 $","291,18 $","2 700,00 $",
"312, Rue Principale",120 000 $,St-Robert,Montérégie (Rive-Sud Montréal),,,,,,15 094 pi² (1 402.28 m²),,,,
"115, rue Radisson",50 000 $,St-Calixte,Lanaudière,,,,,,40 000 pi² (3 716.12 m²),,,,
"365, chemin du Lac-Sinclair",430 000 $,La Pêche (Duclos),Outaouais,3,1,1,2,1 100 pi² (102.19 m²),43 560.00 pi² (1 acre),"1 900,00 $","180,00 $","600,00 $","1 700,00 $"
", rue du Sergent-Arthur-Boucher",145 000 $,Magog,Estrie,,,,,,5 876.02 pi² (545.9 m²),"698,83 $","29,56 $",,
"2017, rue Marcel",650 000 $,St-Jérôme (Bellefeuille),Laurentides,5,1,1,2,1 887 pi² (175.31 m²),16 205 pi² (1 505.49 m²),"3 404,00 $","291,00 $","3 000,00 $",
"2330, rang du Bord de l'Eau",563 000 $,Ste-Clotilde-De-Horton,Centre-du-Québec,3,2,1,2,1 568 pi² (145.67 m²),40 410 pi² (3 754.21 m²),"2 469,00 $","206,00 $","3 800,00 $","1 400,00 $"
"11835, rue Sainte-Catherine Est",739 000 $,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,,1,,,,4 262 pi² (395.95 m²),"3 486,12 $","399,09 $","2 616,00 $",
"1880, rue de Beaurivage",699 900 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3,1,,,,3 000 pi² (278.71 m²),,,,
"139, rue de Chablis",565 000 $,Terrebonne (Lachenaie),Lanaudière,3,2,,1,1 122.68 pi² (104.3 m²),4 642.47 pi² (431.3 m²),"2 960,00 $","247,00 $",,
"930, rue du Damier-Argenté",565 000 $,La Prairie,Montérégie (Rive-Sud Montréal),2,1,,1,1 091 pi² (101.36 m²),,"2 917,00 $","344,00 $",,
"424, rue Principale",680 000 $,Ste-Dorothée,Laval,6,3,,1,1 740 pi² (161.65 m²),72.80x141.11 pi (22.19x43.01 m),"3 162,14 $","322,93 $","1 995,00 $","860,00 $"
"76, rue du Gui",798 000 $,Cantley,Outaouais,4,3,1,1,1 102 pi² (102.38 m²),76 078.24 pi² (7 067.9 m²),"5 057,59 $","455,88 $","3 240,00 $","2 300,00 $"
"17, chemin d'Estérel",729 000 $,Esterel,Laurentides,3,2,,1,1 925 pi² (178.84 m²),43 000 pi² (3 994.83 m²),"3 949,00 $","325,00 $",,
"203-1660, rue Claire-Bonenfant",359 900 $,Lebourgneuf,Québec Rive-Nord,2,1,1,1,1 176.49 pi² (109.3 m²),,"3 007,57 $","236,44 $","650,00 $","430,00 $"
"336, rue des Marguerites",619 000 $,St-Amable,Montérégie (Rive-Sud Montréal),4,2,1,2,1 430 pi² (132.85 m²),5 030 pi² (467.3 m²),"3 017,00 $","287,00 $","3 000,00 $",
"965, rue Vinet",635 000 $,Beloeil,Montérégie (Rive-Sud Montréal),3,2,,1,1 176 pi² (109.25 m²),8 726 pi² (810.67 m²),"3 172,52 $","326,02 $","3 600,00 $",
"200-806, RUE DE LA SOEUR-MARIE-ROSE",399 000 $,Terrebonne (Lachenaie),Lanaudière,2,1,,1,1 110.84 pi² (103.2 m²),,"2 721,22 $","218,37 $",,
"202-214, rue Chénier",435 000 $,Saint-Sauveur,Québec Rive-Nord,6,4,,,,1 541.39 pi² (143.2 m²),"5 078,57 $","305,84 $","1 000,00 $","2 889,24 $"
rue Lalonde,683 000 $,Mercier,Montérégie (Rive-Sud Montréal),3,2,1,2,1 720 pi² (159.79 m²),,,,,
"1178, 45e Avenue",479 900 $,Fabreville,Laval,3,1,1,2,1 200.18 pi² (111.5 m²),39.99x75.00 pi (12.19x22.86 m),"2 405,00 $","360,00 $","1 440,00 $","600,00 $"
"1331, Rue Alice-Campbell","522 253,24 $",Sherbrooke (Jacques-Cartier),Estrie,3,2,,1,922 pi² (85.66 m²),5 230.2 pi² (485.9 m²),,,,
"55, rue Edward Sud",699 900 $,Chateauguay,Montérégie (Rive-Sud Montréal),3,1,1,2,1 474 pi² (136.94 m²),7 399.1 pi² (687.4 m²),,,,
"4960, RUE JACQUES-PORLIER",729 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3,2,1,2,1 500 pi² (139.35 m²),5 200 pi² (483.1 m²),"4 143,00 $","506,00 $","1 630,00 $","898,00 $"
"494, Lamontagne",829 000 $,St-Jérôme (Bellefeuille),Laurentides,4,3,,1,1 252 pi² (116.31 m²),17 896 pi² (1 662.59 m²),"5 097,79 $","416,87 $","2 587,00 $","2 218,00 $"
"204-319, Chemin du Panorama",660 000 $,Potton (Mansonville),Estrie,3,2,,1,1 077 pi² (100.06 m²),,,,"500,00 $",
650 boulevard Carmel,308 571 $,Terrebonne (Terrebonne),Lanaudière,1,1,,1,827 pi² (76.83 m²),,,,,
"138, rue du Vallon",325 000 $,St-Joseph-De-Beauce,Chaudière-Appalaches,3,1,1,1,1 008 pi² (93.65 m²),9 449.64 pi² (877.9 m²),"3 101,89 $","159,38 $",,
"102-823, BOUL LE BOURG-NEUF",308 999 $,Repentigny (Le Gardeur),Lanaudière,2,1,1,1,28x37 pi (8.53x11.28 m),,"2 100,00 $","150,00 $",,
"2260, rue Suzanne-Langevin",395 000 $,Shawinigan (Shawinigan-Sud),Mauricie,5,2,,1,1 230 pi² (114.27 m²),65.62x104.99 pi (20x32 m),,,,
"72, chemin Meunier",385 000 $,Austin,Estrie,,,,,,453 635 pi² (42 144.07 m²),"530,03 $","113,74 $",,
"3349, rue Jean-Cabot",659 000 $,Ste-Foy,Québec Rive-Nord,4,2,,1,1 170 pi² (108.7 m²),6 500 pi² (603.87 m²),"3 473,00 $","318,00 $","2 640,00 $",
"1570, rue Antoinette-de-Pons",449 000 $,Neufchatel,Québec Rive-Nord,3,2,1,2,1 229.13 pi² (114.19 m²),38.78x65.12 pi (11.82x19.85 m),"3 524,56 $","292,22 $","1 200,00 $",
"143, rue Langlois",340 000 $,Gatineau (Gatineau),Outaouais,2,2,,1,780 pi² (72.46 m²),64x20 pi (19.51x6.10 m),"2 215,82 $","145,00 $","700,00 $","700,00 $"
"441, rue du Châtelain",260 000 $,Ste-Marthe-Sur-Le-Lac,Laurentides,2,1,,1,1 002 pi² (93.09 m²),,"1 603,00 $","132,00 $",,
"105, rue Drapeau",169 000 $,L'Ange-Gardien,Québec Rive-Nord,3,1,,1,980 pi² (91.04 m²),4 687 pi² (435.44 m²),"1 763,00 $","116,00 $","1 800,00 $","700,00 $"
"815, rue de la Coulange",549 000 $,Drummondville (St-Charles-De-Drummond),Centre-du-Québec,5,2,,1,1 636 pi² (151.99 m²),7 960.99 pi² (739.6 m²),"3 194,07 $","288,20 $",,
"4290, rue Brousseau",385 000 $,Drummondville (Drummondville),Centre-du-Québec,2,1,,1,1 331 pi² (123.65 m²),58x98 pi (17.68x29.87 m),"2 529,79 $","154,22 $","1 200,00 $","510,61 $"
"245, 12e Rang",659 000 $,Stoke,Estrie,5,2,,1,1 260 pi² (117.06 m²),588 060.00 pi² (13.5 acres),"3 655,00 $","425,00 $",,
"553, 5e rue",249 900 $,Limoilou,Québec Rive-Nord,3,1,,1,958 pi² (89 m²),2 500 pi² (232.26 m²),,,,
"728, rue Latour",399 000 $,St-Jérôme (St-Antoine),Laurentides,4,2,,2,1 944 pi² (180.6 m²),5 000 pi² (464.52 m²),"2 300,00 $","130,00 $","2 500,00 $",
"63, chemin du Richelieu",899 000 $,McMasterville,Montérégie (Rive-Sud Montréal),2,2,1,2,2 546 pi² (236.53 m²),10 405 pi² (966.66 m²),"5 791,04 $","687,00 $","858,63 $",
"39, rue Larose",199 900 $,St-Antoine-sur-Richelieu,Montérégie (Rive-Sud Montréal),,,,,,8 100 pi² (752.51 m²),"565,00 $","102,00 $",,
"606, Rue du Chardonnay",380 000 $,Ste-Marthe-Sur-Le-Lac,Laurentides,2,1,,1,1 242 pi² (115.39 m²),,"2 128,31 $","193,00 $",,
"290, rue Françoise-Loranger",799 000 $,Mont-St-Hilaire,Montérégie (Rive-Sud Montréal),4,2,1,2,1 657.64 pi² (154 m²),65.62x98.43 pi (20x30 m),"4 240,00 $","418,82 $","3 600,00 $",
"371, boulevard Forillon",265 000 $,Gaspé,Gaspésie-Îles-de-la-Madeleine,2,1,,2,768 pi² (71.35 m²),11 250 pi² (1 045.16 m²),"1 600,00 $","100,00 $","900,00 $",
"511, 7e Rue",495 000 $,Louiseville,Mauricie,4,2,,1,1 209 pi² (112.32 m²),130x100 pi (39.62x30.48 m),"4 053,96 $","280,06 $","4 328,00 $",
"B-2230, Chemin du Foulon",835 000 $,Sillery,Québec Rive-Nord,3,2,1,2,1 871 pi² (173.82 m²),30 118.31 pi² (2 798.08 m²),,,,
"655, rue des Mésanges",435 000 $,Ste-Agathe-Des-Monts,Laurentides,2,1,,1,1 150 pi² (106.84 m²),17 100.62 pi² (1 588.7 m²),"2 920,62 $","163,56 $","1 500,00 $","800,00 $"
"4443, rue Chapleau",550 000 $,Le Plateau-Mont-Royal,Montréal / l'Île,2,1,,1,1 000 pi² (92.9 m²),1 000 pi² (92.9 m²),"1 834,00 $","200,00 $","1 300,00 $","800,00 $"
"108, rue Hébert",335 000 $,Windsor,Estrie,4,1,1,,,14 951 pi² (1 388.99 m²),"3 119,00 $","175,00 $",,
"10599-10601, avenue Royale",245 000 $,Ste-Anne-de-Beaupré,Québec Rive-Nord,3,1,,,,6 210.78 pi² (577 m²),"3 450,00 $","156,00 $","2 000,00 $","1 200,00 $"
"550, rue Boisvert",399 000 $,Donnacona,Portneuf,4,2,,1,940.72 pi² (87.4 m²),6 047.16 pi² (561.8 m²),"2 612,00 $","189,00 $","2 060,00 $",
"66, rue Laurier",439 000 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,5,1,,2,1 262.61 pi² (117.3 m²),926 937.38 pi² (86 115.3 m²),"3 093,08 $","279,50 $","1 320,00 $","1 415,91 $"
Rue des Iris,Prix sur demande,Victoriaville,Centre-du-Québec,2,1,,1,1 325 pi² (123.1 m²),16 000 pi² (1 486.45 m²),,,,
"5300, rue Tremblay",569 900 $,ND-Du-Mont-Carmel,Mauricie,2,1,,1,1 800 pi² (167.23 m²),16 720 pi² (1 553.34 m²),,,"1 800,00 $","850,00 $"
"300-1220, boulevard Lucille-Teasdale",381 000 $,Terrebonne (Lachenaie),Lanaudière,2,1,1,1,949.38 pi² (88.2 m²),,"3 448,00 $","236,05 $",,
"127, rue Émond",588 000 $,Varennes,Montérégie (Rive-Sud Montréal),5,2,,1,980 pi² (91.04 m²),5 999.80 pi² (557.4 m²),"2 211,00 $","287,00 $",,
"16280, 10e Avenue",699 000 $,St-Georges,Chaudière-Appalaches,3,2,,1,2 800 pi² (260.13 m²),121x135 pi (36.88x41.15 m),"6 097,00 $","542,00 $",,
"102-2600, chemin du Parc",288 000 $,Orford,Estrie,1,1,,1,611.39 pi² (56.8 m²),1 pi² (0.09 m²),"1 605,00 $","142,00 $","1 050,00 $",
"507, rue des Saules",510 000 $,Beauharnois (Maple Grove),Montérégie (Rive-Sud Montréal),4,1,1,2,569.23x6.56 pi (173.5x2 m),37.73x99.08 pi (11.5x30.2 m),"2 000,00 $","250,00 $","684,00 $","500,00 $"
"302-86, rue Front",214 900 $,Gatineau (Aylmer),Outaouais,2,1,,1,735 pi² (68.28 m²),1 389.62 pi² (129.1 m²),"1 375,00 $","83,00 $",,"360,00 $"
"104-90, rue Front",209 900 $,Gatineau (Aylmer),Outaouais,2,1,,1,735 pi² (68.28 m²),1 389.62 pi² (129.1 m²),"1 375,00 $","83,00 $",,"360,00 $"
"1101, chemin de Montréal Ouest",2 000 000 $,Gatineau (Masson-Angers),Outaouais,16,10,,,,2 955.23 pi² (274.55 m²),"15 760,00 $","1 045,00 $",,"5 541,00 $"
"147, rue de Mirabel",389 900 $,Gatineau (Gatineau),Outaouais,3,1,1,2,1 354 pi² (125.79 m²),3 446.60 pi² (320.2 m²),"2 671,00 $","174,00 $","1 200,00 $","600,00 $"
"7-444, rue de l'Iris",292 500 $,Granby,Estrie,2,1,,1,1 041 pi² (96.71 m²),,,,,
"103-4994, rue Lionel-Groulx",563 000 $,St-Augustin-De-Desmaures,Québec Rive-Nord,2,2,,1,1 862 pi² (172.99 m²),,"4 965,76 $","416,44 $","1 031,95 $","503,64 $"
"304-1694, rue de l'Estran",439 500 $,St-Nicolas,Québec Rive-Sud (Lévis),2,1,,1,1 457 pi² (135.36 m²),,"3 341,10 $","288,00 $",,
"X, rue Bellegarde",139 000 $,Magog,Estrie,,,,,,20 000 pi² (1 858.06 m²),"213,20 $",,,
"3143, rue des Chèvrefeuilles",248 500 $,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,2,2,,1,611 pi² (56.76 m²),3 900 pi² (362.32 m²),"2 428,74 $",,"1 500,00 $",
"783, avenue Bergeron",635 000 $,Roberval,Saguenay-Lac-Saint-Jean,4,2,2,2,2 048 pi² (190.27 m²),12 647 pi² (1 174.94 m²),"4 600,00 $",,"3 200,00 $","2 000,00 $"
"101, rue Monique",895 000 $,Shefford,Estrie,4,2,,2,3 532 pi² (328.13 m²),43 593 pi² (4 049.92 m²),"3 544,67 $","415,41 $","2 810,00 $",
"61-63, 48e Avenue",429 000 $,St-Côme,Lanaudière,4,2,,,,6 500 pi² (603.87 m²),"159,00 $","2 923,00 $","2 774,00 $","1 391,00 $"
"7-331, rue de l'Aigle",774 000 $,Carignan,Montérégie (Rive-Sud Montréal),2,1,1,1,1 346 pi² (125.05 m²),,"3 507,86 $","454,03 $","600,00 $","600,00 $"
"81, rue du Pinacle",578 800 $,ND-De-L'Ile-Perrot,Montérégie Ouest,3,1,1,2,"1,412 pi² (131.18 m²)",,,,,
"3720, rue Bélair",1 360 000 $,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,2,1,,,,38.48x87.40 pi (11.73x26.64 m),"7 671,30 $","981,63 $","280,00 $","5 792,00 $"
"340, rue des Bois",328 000 $,St-Apollinaire,Chaudière-Appalaches,3,1,,1,,40 564.87 pi² (3 768.6 m²),"2 608,00 $","223,00 $","1 750,00 $",
