Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"76-1775, RUE DUNANT",362 000 $,St-Bruno-De-Montarville,Montérégie (Rive-Sud Montréal),3,1,1,3,1 001.04 pi²,,"2 067,72 $","211,43 $","540,00 $",
"602, rue Principale",295 000 $,St-Louis,Montérégie (Rive-Sud Montréal),3,1,1,1,1 433 pi²,,"1 856,30 $","357,13 $",,
Chemin des Saules,45 000 $,ND-Du-Laus,Laurentides,,,,,,,,,,
"51, RUE LE RENFORT",598 900 $,St-Jean-sur-Richelieu (St-Luc),Montérégie (Rive-Sud Montréal),3,,1,1,1 520 pi²,,"3 047,27 $","330,72 $","1 850,00 $","1 256,77 $"
"6799-6801, 12e Avenue",849 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,4,,,,,,"3 440,42 $","432,24 $","420,69 $","1 800,00 $"
"351, rue Saint-René",315 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,2,1,,1,33.50x32.94 pi,,"2 636,86 $","182,60 $",,
"195, 6e Rang",5 200 000 $,St-Pie-De-Guire,Centre-du-Québec,,,,,,,,,,
"589, rue Villeneuve",359 000 $,Drummondville (Drummondville),Centre-du-Québec,3,,,1,1 188 pi²,,"1 930,00 $","145,00 $","2 000,00 $","1 000,00 $"
"21, rue Richelieu",555 000 $,Ste-Brigitte-De-Laval,Québec Rive-Nord,3,,1,2,2 000 pi²,,"4 414,04 $","360,00 $","2 280,00 $",
"3964, boulevard Gareau",388 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),2,1,,1,1 121 pi²,,,,,
"357, rue Madeleine-Gleason",415 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,3,,1,2,1 161.43 pi²,,"3 408,57 $","256,58 $","1 657,45 $","1 488,48 $"
"165, chemin du Domaine-Millette",159 000 $,Mont-Tremblant (St-Jovite),Laurentides,,,,,,,"841,48 $","58,90 $",,
"838-840, boulevard Louis-XIV",414 900 $,Charlesbourg,Québec Rive-Nord,4,,,,,,"3 607,21 $","267,90 $",,"1 850,16 $"
"43, Vallée des Rois",299 000 $,St-Jean-De-Matha,Lanaudière,3,1,,1,1 140 pi²,,"1 625,00 $","142,00 $","2 600,00 $",
"8621, boulevard Saint-Jacques",315 000 $,Lebourgneuf,Québec Rive-Nord,3,1,1,2,1 270.14 pi²,,"2 656,00 $","190,00 $","1 950,00 $","456,00 $"
"1745, rue de l'Acropole",540 000 $,St-Émile,Québec Rive-Nord,4,,1,2,1 568 pi²,,"3 965,97 $","353,50 $","2 889,00 $","1 167,39 $"
", montée de l'Église",374 990 $,St-Colomban,Laurentides,,,,,,,"1 108,89 $","50,00 $",,
"192, rue Alphonse-Lacoursière",539 000 $,Vanier,Québec Rive-Nord,3,1,1,1,2 145 pi²,,"4 470,00 $","400,00 $","2 100,00 $","1 265,00 $"
"895, rue de Maricourt",789 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,,,2,1 548 pi²,,"4 124,00 $","427,00 $","2 160,00 $","1 800,00 $"
"303-1020, boulevard de Palerme",359 000 $,La Prairie,Montérégie (Rive-Sud Montréal),2,1,,1,792 pi²,,"1 881,95 $","214,68 $","480,00 $",
"1978, boulevard Bastien",387 000 $,Neufchatel,Québec Rive-Nord,3,,1,2,1 120 pi²,,"2 122,00 $","227,68 $","1 300,00 $","600,00 $"
"104-309, rue Sainte-Catherine",379 000 $,St-Constant,Montérégie (Rive-Sud Montréal),2,1,,1,957 pi²,,"2 182,12 $","211,60 $",,
"32, rue Bédard",449 000 $,Boischatel,Québec Rive-Nord,3,,1,2,1 643 pi²,,"3 081,37 $",,"3 471,12 $","700,00 $"
