Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"1952, rue des Tulipes",359000.0,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,3,2,1,1,85.21,1040.05,2778.46,275.0,1740.0,1150.5
", boulevard Montseigneur-de-Laval",350000.0,Baie-St-Paul,Charlevoix,4,2,1,2,117.06,766.9,359.1,200.0,1740.0,1150.5
"404-1420, rue Gaston-Véronneau",284000.0,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),1,1,1,1,61.04,766.9,1797.0,175.0,1740.0,1150.5
"1454, rue de Niverville",410000.0,Chambly,Montérégie (Rive-Sud Montréal),2,1,1,1,119.84,18117.95,2129.0,251.0,507.0,272.0
"744-746, rue Louis-H Desjardins",635000.0,Terrebonne (Terrebonne),Lanaudière,5,3,1,2,117.06,766.9,4257.0,352.0,1740.0,1150.5
"149, chemin de la Grève de la Pointe",344900.0,ND-Des-Neiges,Bas-Saint-Laurent,2,1,1,2,60.02,216.19,2041.0,131.0,700.0,675.0
"130, RUE EMILE",519000.0,Lavaltrie,Lanaudière,3,1,1,1,108.7,766.9,2778.46,275.0,1740.0,1150.5
"3510, route 108",599000.0,Cookshire-Eaton,Estrie,4,2,1,2,206.62,766.9,3548.65,324.15,1740.0,1150.5
"4348, rue de l'Estuaire",299000.0,Charny,Québec Rive-Sud (Lévis),3,1,1,2,114.46,391.49,2310.0,185.0,1860.0,816.0
Unité 506 - 7480 Boulevard Taschereau,658900.0,Brossard,Montérégie (Rive-Sud Montréal),3,2,1,1,109.25,766.9,2778.46,275.0,1740.0,1150.5
"63, rue de Bellevue",475000.0,Blainville,Laurentides,4,2,1,2,117.06,752.5,2778.46,275.0,1740.0,1150.5
"22, rue de la Berge",440000.0,St-Philippe,Montérégie (Rive-Sud Montréal),2,1,1,1,117.06,321.5,2740.84,210.43,1680.0,1051.0
"638, rang des Sloan",850000.0,St-Edouard-De-Napierville,Montérégie (Rive-Sud Montréal),3,1,1,1,154.4,5245.5,2866.23,385.74,2870.0,1150.5
"5, rue des Frênes",540000.0,Mercier,Montérégie (Rive-Sud Montréal),3,2,1,1,121.24,579.44,2873.0,270.0,107.0,90.0
"203, RUE DE LANGELIER",419900.0,Gatineau (Gatineau),Outaouais,2,1,1,2,91.79,0.09,2778.46,275.0,1740.0,1150.5
"915, rue des Rameaux",485000.0,Breakeyville,Québec Rive-Sud (Lévis),4,2,1,2,130.06,1174.2,3469.01,311.76,1740.0,1150.5
